AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2022;diciembre;CENTRO;26;40;56;41;70;84;14;331
2022;diciembre;ARGANZUELA;6;11;12;10;6;34;2;81
2022;diciembre;RETIRO;4;9;15;12;10;16;2;68
2022;diciembre;SALAMANCA;7;15;31;13;23;29;8;126
2022;diciembre;CHAMARTIN;13;7;21;20;21;21;3;106
2022;diciembre;TETUAN;12;16;22;24;18;32;7;131
2022;diciembre;CHAMBERI;13;11;23;7;11;24;4;93
2022;diciembre;FUENCARRAL;22;3;27;12;23;29;7;123
2022;diciembre;MONCLOA;11;6;11;11;23;27;11;100
2022;diciembre;LATINA;15;7;47;16;18;34;8;145
2022;diciembre;CARABANCHEL;10;7;24;15;19;35;3;113
2022;diciembre;USERA;19;10;13;12;15;32;3;104
2022;diciembre;PUENTE VALLECAS;23;13;37;15;26;32;45;191
2022;diciembre;MORATALAZ;8;2;11;12;8;13;3;57
2022;diciembre;CIUDAD LINEAL;8;7;35;12;10;32;5;109
2022;diciembre;HORTALEZA;11;6;24;7;20;21;4;93
2022;diciembre;VILLAVERDE;24;6;12;13;14;23;6;98
2022;diciembre;VILLA DE VALLECAS;8;3;23;5;13;21;1;74
2022;diciembre;VICALVARO;10;4;9;8;5;8;4;48
2022;diciembre;SAN BLAS;11;11;13;6;23;23;3;90
2022;diciembre;BARAJAS;1;2;7;6;8;5;5;34
2022;diciembre;FUERA TERMINO MUNICIPAL;0;0;0;0;1;1;0;2
2022;noviembre;CENTRO;22;34;40;13;49;56;24;238
2022;noviembre;ARGANZUELA;10;9;22;6;18;17;0;82
2022;noviembre;RETIRO;6;7;21;8;16;23;6;87
2022;noviembre;SALAMANCA;8;10;15;12;28;26;17;116
2022;noviembre;CHAMARTIN;12;6;18;10;33;18;6;103
2022;noviembre;TETUAN;10;4;22;14;11;22;12;95
2022;noviembre;CHAMBERI;9;5;18;15;20;17;3;87
2022;noviembre;FUENCARRAL;16;4;25;16;26;40;5;132
2022;noviembre;MONCLOA;9;10;22;7;30;25;8;111
